Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,315.0,48,2025-01-29,02114,0,60612,W 122-100,,34:13,4,6,.667,2,3,.667,2,3,.667,.833,0,0,,0,2,2,7,2,1,1,1,10,14.2,13
49,316.0,49,2025-01-31,02114,1,70112,W 118-116,,17:16,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,1,1,0,3,1,1,1,3,3.2,0
50,317.0,51,2025-02-04,02114,1,44115,W 112-105,,28:49,3,7,.429,3,7,.429,0,0,,.643,0,0,,3,3,6,3,1,0,2,2,9,8.6,19
51,318.0,52,2025-02-06,02114,0,75219,L 120-127,,32:52,9,15,.600,3,9,.333,6,6,1.000,.700,0,0,,1,5,6,6,0,1,2,4,21,17.6,-3
52,319.0,53,2025-02-08,02114,1,10001,W 131-104,,27:24,9,13,.692,6,8,.750,3,5,.600,.923,1,2,.500,0,4,4,4,0,0,1,0,25,22.1,29
53,320.0,54,2025-02-10,02114,1,33132,W 103-85,,36:26,2,9,.222,1,8,.125,1,1,1.000,.278,0,0,,0,10,10,8,2,0,0,1,5,9.7,17
54,321.0,55,2025-02-12,02114,0,78219,W 116-103,,31:24,4,12,.333,2,10,.200,2,2,1.000,.417,0,0,,4,3,7,3,0,0,1,3,10,6.8,12
55,322.0,56,2025-02-20,02114,1,19148,W 124-104,,31:23,10,18,.556,8,15,.533,2,3,.667,.778,0,0,,0,0,0,4,0,0,1,0,28,21.2,8
56,323.0,57,2025-02-23,02114,0,10001,W 118-105,,16:41,1,5,.200,1,5,.200,0,0,,.300,0,0,,1,3,4,2,0,1,0,1,3,3.2,-12
57,324.0,58,2025-02-25,02114,1,51300,W 111-101,,34:43,8,17,.471,4,13,.308,4,4,1.000,.588,0,0,,2,5,7,2,2,0,1,1,20,16.2,4
58,325.0,59,2025-02-26,02114,1,48226,L 97-117,,31:23,6,10,.600,5,8,.625,1,2,.500,.850,1,1,1.000,1,2,3,4,1,0,1,0,18,17.5,-5
59,326.0,60,2025-02-28,02114,0,44115,L 116-123,,25:24,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,0,0,1,1,0,2,2,6,2.9,-36
60,327.0,61,2025-03-02,02114,0,80204,W 110-103,,25:47,4,7,.571,3,5,.600,1,2,.500,.786,0,0,,0,1,1,3,0,0,0,1,11,9.7,10
61,328.0,62,2025-03-05,02114,0,97227,W 128-118,,42:51,14,20,.700,10,16,.625,4,4,1.000,.950,5,5,1.000,4,6,10,5,0,0,0,2,43,41.9,12
62,329.0,63,2025-03-06,02114,0,19148,W 123-105,,32:18,6,13,.462,4,8,.500,2,5,.400,.615,3,3,1.000,3,1,4,6,2,0,0,1,19,20.5,14
63,330.0,64,2025-03-08,02114,0,90015,W 111-101,,22:30,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,2,2,2,0,2,0,1,3,2.9,-2
64,331.0,65,2025-03-10,02114,0,84101,W 114-108,,25:55,3,11,.273,2,8,.250,1,3,.333,.364,0,0,,0,1,1,3,2,0,0,1,8,5.5,-4
65,332.0,66,2025-03-12,02114,0,73102,L 112-118,,24:58,3,10,.300,2,9,.222,1,1,1.000,.400,0,0,,1,0,1,1,0,0,1,1,8,2.2,1
66,333.0,67,2025-03-14,02114,1,33132,W 103-91,,27:10,4,12,.333,3,9,.333,1,3,.333,.458,0,0,,1,2,3,0,3,0,2,2,11,5.7,0
67,334.0,68,2025-03-15,02114,1,11217,W 115-113,,32:58,7,11,.636,5,8,.625,2,3,.667,.864,3,4,.750,2,4,6,3,2,0,2,1,22,21.0,6
68,335.0,69,2025-03-18,02114,0,11217,W 104-96,,33:37,3,9,.333,3,7,.429,0,2,.000,.500,1,1,1.000,1,3,4,2,0,0,0,0,10,7.9,14
69,336.0,70,2025-03-21,02114,1,84101,W 121-99,,31:35,6,13,.462,4,11,.364,2,2,1.000,.615,2,3,.667,1,1,2,4,1,0,1,2,18,13.9,14
70,337.0,71,2025-03-23,02114,1,97227,W 129-116,*,31:41,6,14,.429,4,9,.444,2,5,.400,.571,0,0,,1,3,4,5,0,0,0,3,16,12.5,6
71,338.0,72,2025-03-24,02114,1,95814,W 113-95,,34:36,8,18,.444,5,13,.385,3,5,.600,.583,1,2,.500,1,4,5,2,1,0,2,1,22,14.1,18
72,339.0,73,2025-03-26,02114,1,85004,W 132-102,,24:48,3,10,.300,1,8,.125,2,2,1.000,.350,0,0,,1,5,6,4,1,0,2,2,7,4.4,3
73,340.0,75,2025-03-31,02114,1,38103,W 117-103,,25:35,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,2,4,6,1,1,0,1,3,5,3.7,-6
74,341.0,76,2025-04-02,02114,0,33132,L 103-124,,31:17,4,9,.444,2,6,.333,2,3,.667,.556,0,0,,2,2,4,2,0,1,1,0,10,8.4,-7
75,342.0,77,2025-04-04,02114,0,85004,W 123-103,,22:20,4,5,.800,2,3,.667,2,2,1.000,1.000,0,0,,0,1,1,3,0,0,1,1,10,9.1,11
76,343.0,78,2025-04-06,02114,0,20004,W 124-90,,29:32,8,18,.444,4,11,.364,4,7,.571,.556,0,0,,1,5,6,7,2,0,1,1,20,18.3,27
77,344.0,79,2025-04-08,02114,1,10001,W 119-117 (OT),,29:53,3,6,.500,0,3,.000,3,3,1.000,.500,2,2,1.000,1,4,5,3,1,0,1,1,8,8.6,-10
78,345.0,80,2025-04-09,02114,1,32801,L 76-96,*,34:59,7,17,.412,1,7,.143,6,10,.600,.441,0,0,,0,4,4,10,1,0,3,2,15,11.3,-12
79,346.0,81,2025-04-11,02114,0,28202,W 130-94,,21:42,9,11,.818,4,5,.800,5,6,.833,1.000,0,0,,0,3,3,3,1,0,2,0,22,19.9,16
80,347.0,82,2025-04-13,02114,0,28202,W 93-86,*,38:30,14,25,.560,4,12,.333,10,13,.769,.640,2,2,1.000,3,4,7,7,1,0,4,0,34,27.3,8
