Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
77,77,77,2019-03-30,LAC,,CLE,W 132-108,*,27:40,9,12,.750,3,3,1.000,6,9,.667,.875,1,2,.500,1,1,2,8,1,0,1,1,22,23.0,7
78,78,78,2019-03-31,LAC,,MEM,W 113-96,*,28:13,2,6,.333,0,0,,2,6,.333,.333,2,2,1.000,1,3,4,3,4,2,2,3,6,8.5,9
79,79,79,2019-04-03,LAC,,HOU,L 103-135,*,32:55,8,16,.500,1,3,.333,7,13,.538,.531,3,5,.600,2,2,4,4,2,0,3,2,20,14.2,-8
80,80,80,2019-04-05,LAC,,LAL,L 117-122,*,37:00,10,19,.526,0,4,.000,10,15,.667,.526,0,0,,2,6,8,6,1,1,1,3,20,17.6,5
81,81,81,2019-04-07,LAC,@,GSW,L 104-131,*,29:34,5,10,.500,0,1,.000,5,9,.556,.500,2,3,.667,0,1,1,3,1,0,0,0,12,10.0,-28
82,82,82,2019-04-10,LAC,,UTA,W 143-137 (OT),*,24:06,3,6,.500,0,0,,3,6,.500,.500,2,2,1.000,0,2,2,3,2,0,1,4,8,7.1,5
1,83,1,2019-10-23,OKC,@,UTA,L 95-100,*,36:46,10,23,.435,3,7,.429,7,16,.438,.500,3,6,.500,0,2,2,1,1,0,1,2,26,13.2,-12
2,84,2,2019-10-25,OKC,,WAS,L 85-97,*,36:04,10,17,.588,2,4,.500,8,13,.615,.647,6,8,.750,0,7,7,4,2,3,2,2,28,25.5,-1
3,85,3,2019-10-27,OKC,,GSW,W 120-92,*,29:40,8,14,.571,1,5,.200,7,9,.778,.607,2,4,.500,0,9,9,4,0,2,3,1,19,15.1,27
4,86,4,2019-10-28,OKC,@,HOU,L 112-116,*,35:55,8,21,.381,2,6,.333,6,15,.400,.429,4,4,1.000,3,6,9,4,0,0,0,2,22,16.4,5
5,87,5,2019-10-30,OKC,,POR,L 99-102,*,35:47,3,13,.231,0,2,.000,3,11,.273,.231,7,10,.700,3,5,8,3,1,0,4,2,13,5.8,-12
6,88,6,2019-11-02,OKC,,NOP,W 115-104,*,35:31,8,14,.571,3,5,.600,5,9,.556,.679,4,5,.800,1,7,8,4,0,1,1,0,23,21.3,12
7,89,7,2019-11-05,OKC,,ORL,W 102-94,*,35:56,9,14,.643,3,5,.600,6,9,.667,.750,3,4,.750,0,3,3,2,1,1,1,1,24,20.0,14
8,90,8,2019-11-07,OKC,@,SAS,L 112-121,*,34:01,9,18,.500,0,1,.000,9,17,.529,.500,3,3,1.000,0,1,1,3,0,0,2,1,21,12.0,-9
