Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,241,39,2025-01-17,LAL,,BRK,W 102-101,*,37:05,13,23,.565,4,8,.500,9,15,.600,.652,8,8,1.000,0,3,3,3,2,1,0,2,38,32.0,1
35,242,40,2025-01-19,LAL,@,LAC,L 102-116,*,34:24,4,6,.667,2,4,.500,2,2,1.000,.833,4,4,1.000,0,2,2,3,0,1,5,1,14,9.4,-16
36,243,41,2025-01-21,LAL,,WAS,W 111-88,*,36:04,4,15,.267,1,8,.125,3,7,.429,.300,7,7,1.000,1,1,2,8,1,0,2,1,16,12.3,18
37,244,42,2025-01-23,LAL,,BOS,W 117-96,*,33:16,7,13,.538,4,8,.500,3,5,.600,.692,5,6,.833,0,3,3,6,0,0,0,1,23,21.0,14
38,245,43,2025-01-25,LAL,@,GSW,W 118-108,*,39:29,6,10,.600,1,4,.250,5,6,.833,.650,3,3,1.000,1,4,5,7,1,0,3,0,16,16.2,17
39,246,44,2025-01-27,LAL,@,CHO,W 112-107,*,37:43,5,14,.357,2,8,.250,3,6,.500,.429,5,7,.714,1,4,5,6,3,0,1,1,17,16.1,0
40,247,45,2025-01-28,LAL,@,PHI,L 104-118,*,33:30,6,10,.600,1,3,.333,5,7,.714,.650,0,0,,0,6,6,8,1,0,3,1,13,13.4,-4
41,248,46,2025-01-30,LAL,@,WAS,W 134-96,*,30:05,6,14,.429,4,7,.571,2,7,.286,.571,1,2,.500,0,6,6,5,0,0,2,1,17,12.1,24
42,249,47,2025-02-01,LAL,@,NYK,W 128-112,*,29:29,7,12,.583,4,7,.571,3,5,.600,.750,9,9,1.000,0,5,5,6,3,0,3,3,27,25.9,18
43,250,48,2025-02-04,LAL,@,LAC,W 122-97,*,29:49,7,13,.538,3,7,.429,4,6,.667,.654,3,3,1.000,2,4,6,9,0,1,3,0,20,20.3,9
44,251,49,2025-02-06,LAL,,GSW,W 120-112,*,35:31,4,17,.235,0,9,.000,4,8,.500,.235,15,16,.938,1,2,3,4,3,1,4,3,23,14.9,2
45,252,50,2025-02-08,LAL,,IND,W 124-117,*,40:30,14,26,.538,4,9,.444,10,17,.588,.615,13,13,1.000,0,7,7,7,3,0,4,3,45,37.2,14
46,253,51,2025-02-10,LAL,,UTA,W 132-113,*,31:53,6,10,.600,3,5,.600,3,5,.600,.750,7,7,1.000,3,6,9,4,1,1,0,1,22,25.4,27
47,254,52,2025-02-12,LAL,@,UTA,L 119-131,*,36:00,4,15,.267,1,10,.100,3,5,.600,.300,6,8,.750,1,4,5,11,1,0,1,3,15,13.7,-13
48,255,53,2025-02-19,LAL,,CHO,L 97-100,*,27:15,3,9,.333,2,7,.286,1,2,.500,.444,0,0,,0,2,2,2,1,2,3,3,8,3.1,-5
49,256,54,2025-02-20,LAL,@,POR,W 110-102,*,40:03,9,21,.429,2,8,.250,7,13,.538,.476,12,13,.923,1,0,1,7,2,2,6,2,32,22.7,5
50,257,55,2025-02-22,LAL,@,DEN,W 123-100,*,32:58,7,13,.538,4,7,.571,3,6,.500,.692,5,6,.833,1,3,4,7,0,1,2,3,23,20.3,13
51,258,56,2025-02-25,LAL,,DAL,W 107-99,*,37:42,5,12,.417,3,8,.375,2,4,.500,.542,7,8,.875,0,3,3,5,0,0,1,2,20,15.8,16
52,259,57,2025-02-27,LAL,,MIN,W 111-102,*,38:02,5,10,.500,2,5,.400,3,5,.600,.600,11,12,.917,3,3,6,5,2,0,4,3,23,20.9,9
53,260,58,2025-02-28,LAL,,LAC,W 106-102,*,09:02,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,0,0,0,0,1,0,0,6,4.7,-8
54,261,61,2025-03-06,LAL,,NYK,W 113-109 (OT),*,31:59,2,13,.154,1,7,.143,1,6,.167,.192,3,4,.750,2,4,6,0,0,0,2,3,8,-1.3,-7
55,262,62,2025-03-08,LAL,@,BOS,L 101-111,*,38:34,5,12,.417,4,7,.571,1,5,.200,.583,2,2,1.000,1,2,3,2,1,0,1,0,16,12.3,-12
56,263,63,2025-03-10,LAL,@,BRK,L 108-111,*,36:02,3,14,.214,1,5,.200,2,9,.222,.250,10,11,.909,2,6,8,10,0,1,3,3,17,14.7,-10
57,264,64,2025-03-13,LAL,@,MIL,L 106-126,*,35:38,10,17,.588,4,7,.571,6,10,.600,.706,4,4,1.000,0,8,8,3,0,0,3,3,28,20.4,-6
58,265,65,2025-03-14,LAL,@,DEN,L 126-131,*,39:17,13,26,.500,4,10,.400,9,16,.563,.577,7,7,1.000,0,8,8,13,4,0,4,3,37,34.3,0
59,266,66,2025-03-16,LAL,,PHO,W 107-96,*,39:25,10,21,.476,4,10,.400,6,11,.545,.571,4,5,.800,0,4,4,6,2,1,2,1,28,22.6,14
60,267,67,2025-03-17,LAL,,SAS,W 125-109,*,36:10,12,21,.571,5,13,.385,7,8,.875,.690,1,1,1.000,0,7,7,6,2,0,2,0,30,26.4,18
61,268,68,2025-03-19,LAL,,DEN,W 120-108,*,36:07,8,16,.500,2,7,.286,6,9,.667,.563,4,4,1.000,0,5,5,8,2,1,1,2,22,22.0,13
62,269,70,2025-03-22,LAL,,CHI,L 115-146,*,33:56,9,13,.692,3,7,.429,6,6,1.000,.808,4,4,1.000,1,1,2,5,0,0,2,0,25,22.0,-21
63,270,71,2025-03-24,LAL,@,ORL,L 106-118,*,35:39,7,16,.438,1,6,.167,6,10,.600,.469,3,4,.750,0,6,6,4,0,0,3,4,18,9.2,-7
64,271,72,2025-03-26,LAL,@,IND,W 120-119,*,36:12,8,16,.500,1,8,.125,7,8,.875,.531,7,7,1.000,1,3,4,5,1,0,4,3,24,16.9,6
65,272,73,2025-03-27,LAL,@,CHI,L 117-119,*,36:53,10,17,.588,3,9,.333,7,8,.875,.676,7,7,1.000,0,1,1,3,0,2,2,4,30,22.3,-10
66,273,74,2025-03-29,LAL,@,MEM,W 134-127,*,37:21,8,16,.500,5,8,.625,3,8,.375,.656,10,10,1.000,3,4,7,8,1,1,3,2,31,29.8,-5
