Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
52,215,58,2019-02-22,80204,1,75219,W 114-104,*,33:17,5,16,0.313,2,7,0.286,3,9,0.333,0.375,0,0,,1,4,5,4,3,1,1,3,12,9.0,14
53,216,59,2019-02-24,80204,0,90015,W 123-96,*,24:26,6,12,0.5,2,6,0.333,4,6,0.667,0.583,2,3,0.667,0,4,4,6,1,0,3,3,16,11.8,9
54,217,60,2019-02-26,80204,0,73102,W 121-112,*,32:49,8,15,0.533,4,7,0.571,4,8,0.5,0.667,0,0,,2,3,5,5,0,0,1,3,20,16.3,16
55,218,61,2019-02-28,80204,0,84101,L 104-111,*,32:01,8,16,0.5,4,8,0.5,4,8,0.5,0.625,1,4,0.25,0,4,4,3,0,0,0,5,21,13.1,0
56,219,62,2019-03-02,80204,0,70112,L 112-120,*,31:49,5,15,0.333,1,7,0.143,4,8,0.5,0.367,9,9,1.0,2,1,3,4,1,0,1,2,20,15.2,-1
57,220,63,2019-03-04,80204,1,78219,L 103-104,*,28:20,8,19,0.421,6,10,0.6,2,9,0.222,0.579,3,3,1.0,0,2,2,8,1,0,4,3,25,16.9,7
58,221,64,2019-03-06,80204,1,90015,W 115-99,*,32:53,8,20,0.4,3,9,0.333,5,11,0.455,0.475,0,0,,0,8,8,4,0,0,2,1,19,11.0,25
59,222,65,2019-03-08,80204,1,94607,L 105-122,*,22:48,4,10,0.4,2,3,0.667,2,7,0.286,0.5,1,1,1.0,0,0,0,3,0,0,1,2,11,5.9,-19
60,223,66,2019-03-12,80204,0,55403,W 133-107,*,31:33,10,16,0.625,4,6,0.667,6,10,0.6,0.75,6,6,1.0,1,2,3,1,3,0,1,0,30,26.8,20
61,224,67,2019-03-14,80204,0,75219,W 100-99,*,38:05,4,13,0.308,2,7,0.286,2,6,0.333,0.385,2,2,1.0,2,3,5,7,1,0,0,1,12,12.3,3
62,225,68,2019-03-16,80204,0,46225,W 102-100,*,36:32,7,15,0.467,1,7,0.143,6,8,0.75,0.5,2,2,1.0,0,3,3,3,1,0,1,3,17,11.1,12
63,226,69,2019-03-18,80204,1,02114,W 114-105,*,28:41,5,11,0.455,1,3,0.333,4,8,0.5,0.5,0,0,,1,3,4,2,0,0,3,0,11,5.3,8
64,227,70,2019-03-21,80204,1,20004,W 113-108,*,26:03,7,14,0.5,1,4,0.25,6,10,0.6,0.536,0,0,,0,4,4,2,0,2,1,3,15,9.8,-10
65,228,71,2019-03-22,80204,1,10001,W 111-93,*,33:05,7,16,0.438,1,6,0.167,6,10,0.6,0.469,3,3,1.0,1,4,5,5,2,2,0,2,18,17.6,15
66,229,72,2019-03-24,80204,1,46225,L 88-124,*,27:56,2,12,0.167,0,3,0.0,2,9,0.222,0.167,0,0,,2,3,5,5,1,0,4,1,4,-1.2,-20
67,230,73,2019-03-26,80204,0,48226,W 95-92,*,38:19,12,19,0.632,3,7,0.429,9,12,0.75,0.711,6,7,0.857,0,3,3,5,1,0,3,5,33,24.5,12
