Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
29,542,32,2024-12-29,2114,0,46225,L 114-123,*,41:13,8,17,0.471,2,10,0.2,6,7,0.857,0.529,4,5,0.8,2,7,9,6,3,1,3,3,22,20.1,-21
30,543,33,2024-12-31,2114,0,51300,W 125-71,*,29:22,6,13,0.462,4,9,0.444,2,4,0.5,0.615,7,11,0.636,0,8,8,3,1,0,3,2,23,16.4,38
31,544,34,2025-01-02,2114,1,55403,W 118-115,*,38:09,13,27,0.481,6,17,0.353,7,10,0.7,0.593,1,2,0.5,0,8,8,9,3,0,2,2,33,27.8,3
32,545,35,2025-01-03,2114,1,77002,W 109-86,*,32:57,7,19,0.368,4,10,0.4,3,9,0.333,0.474,2,2,1.0,1,5,6,5,1,0,3,1,20,12.8,11
33,546,36,2025-01-05,2114,1,73102,L 92-105,*,38:52,7,17,0.412,2,6,0.333,5,11,0.455,0.471,10,12,0.833,1,9,10,1,2,0,2,1,26,19.8,-12
34,547,37,2025-01-07,2114,1,80204,W 118-106,*,37:59,11,23,0.478,1,9,0.111,10,14,0.714,0.5,6,6,1.0,0,4,4,6,1,2,2,2,29,22.3,23
35,548,38,2025-01-10,2114,0,95814,L 97-114,*,35:03,5,13,0.385,3,7,0.429,2,6,0.333,0.5,2,3,0.667,0,12,12,5,0,0,8,3,15,5.4,-11
36,549,39,2025-01-12,2114,0,70112,W 120-119,*,36:14,14,30,0.467,2,10,0.2,12,20,0.6,0.5,8,10,0.8,3,8,11,1,1,1,3,1,38,25.3,-9
37,550,40,2025-01-15,2114,1,51300,L 97-110,*,36:12,5,15,0.333,3,9,0.333,2,6,0.333,0.433,3,5,0.6,1,9,10,7,0,1,1,2,16,13.9,-1
38,551,41,2025-01-17,2114,0,32801,W 121-94,*,35:01,12,21,0.571,4,9,0.444,8,12,0.667,0.667,2,3,0.667,0,6,6,4,2,1,1,2,30,25.2,24
39,552,42,2025-01-18,2114,0,30313,L 115-119 (OT),*,43:02,7,21,0.333,2,9,0.222,5,12,0.417,0.381,7,8,0.875,0,8,8,7,3,0,3,2,23,17.2,0
40,553,43,2025-01-20,2114,1,94607,W 125-85,*,28:27,9,20,0.45,3,10,0.3,6,10,0.6,0.525,1,1,1.0,0,9,9,7,2,0,3,1,22,17.8,28
41,554,44,2025-01-22,2114,1,90015,W 117-113 (OT),*,42:48,9,22,0.409,4,13,0.308,5,9,0.556,0.5,2,3,0.667,0,7,7,8,1,2,5,1,24,16.5,1
42,555,45,2025-01-23,2114,1,90015,L 96-117,*,29:49,5,12,0.417,2,6,0.333,3,6,0.5,0.5,4,7,0.571,0,6,6,5,1,1,2,1,16,13.0,-13
43,556,46,2025-01-25,2114,1,75219,W 122-107,*,35:07,8,22,0.364,4,12,0.333,4,10,0.4,0.455,4,4,1.0,0,6,6,3,1,0,3,5,24,11.7,-4
